"nama_tabel","nama_kolom","tipe_data","tipe_prisma","kelompok"
"penduduk","kon_mie","integer","int","sandang_pangan_papan"
"penduduk","kon_roti","integer","int","sandang_pangan_papan"
"penduduk","kon_singkong","numeric","float","sandang_pangan_papan"
"penduduk","kon_sukun","numeric","float","sandang_pangan_papan"
"penduduk","kon_ketan","numeric","float","sandang_pangan_papan"
"penduduk","kon_sapi","numeric","float","sandang_pangan_papan"
"penduduk","kon_ayam","numeric","float","sandang_pangan_papan"
"penduduk","kon_babi","numeric","float","sandang_pangan_papan"
"penduduk","kon_ikan_segar","numeric","float","sandang_pangan_papan"
"penduduk","kon_ikan_asin","numeric","float","sandang_pangan_papan"
"penduduk","kon_telur","numeric","float","sandang_pangan_papan"
"penduduk","kon_kacang_hijau","numeric","float","sandang_pangan_papan"
"penduduk","kon_kacang_merah","numeric","float","sandang_pangan_papan"
"penduduk","kon_kacang_kedelai","numeric","float","sandang_pangan_papan"
"penduduk","kon_kacang_mede","numeric","float","sandang_pangan_papan"
"penduduk","kon_tahu","integer","int","sandang_pangan_papan"
"penduduk","kon_tempe","integer","int","sandang_pangan_papan"
"penduduk","kon_bayam","integer","int","sandang_pangan_papan"
"penduduk","kon_kangkung","integer","int","sandang_pangan_papan"
"penduduk","kon_sawi","integer","int","sandang_pangan_papan"
"penduduk","kon_terong","numeric","float","sandang_pangan_papan"
"penduduk","kon_oyong","numeric","float","sandang_pangan_papan"
"penduduk","kon_daun_singkong","integer","int","sandang_pangan_papan"
"penduduk","kon_daun_ubi","integer","int","sandang_pangan_papan"
"penduduk","kon_jeruk","numeric","float","sandang_pangan_papan"
"penduduk","kon_mangga","numeric","float","sandang_pangan_papan"
"penduduk","kon_pepaya","numeric","float","sandang_pangan_papan"
"penduduk","kon_pisang","numeric","float","sandang_pangan_papan"
"penduduk","kon_alpukat","numeric","float","sandang_pangan_papan"
"penduduk","kon_semangka","numeric","float","sandang_pangan_papan"
"penduduk","kon_melon","numeric","float","sandang_pangan_papan"
"penduduk","kon_cabai","numeric","float","sandang_pangan_papan"
"penduduk","kon_bamer","numeric","float","sandang_pangan_papan"
"penduduk","kon_baput","numeric","float","sandang_pangan_papan"
"penduduk","kon_migor","numeric","float","sandang_pangan_papan"
"penduduk","kon_gas","numeric","float","sandang_pangan_papan"
"penduduk","kon_garam","numeric","float","sandang_pangan_papan"
"penduduk","kon_gula","numeric","float","sandang_pangan_papan"
"penduduk","kon_susu","integer","int","sandang_pangan_papan"
"penduduk","kon_teh","integer","int","sandang_pangan_papan"
"penduduk","kon_kopi","integer","int","sandang_pangan_papan"
"penduduk","kon_rokok","integer","int","sandang_pangan_papan"
"penduduk","kon_kelor","integer","int","sandang_pangan_papan"
"penduduk","rumah_lantai","character varying","string","sandang_pangan_papan"
